student_answer_id,question_paper,question_type,question_text,student_answer,model_answer,gap
11.1.25,UNT,Concept-completion,What are the elements typically included in a class definition?,A class definition typically includes the elements Class name,A class definition includes function members and data members .,function members
11.1.28,UNT,Concept-completion,What are the elements typically included in a class definition?,class definitions include the name of the class and type of parameters .,A class definition includes function members and data members .,function members . data members
2.1.2,UNT,Concept-completion,What is typically included in a class definition?,A class definition includes the attributes of said class . A class definition includes also whether or not it is a subclass and whether it is public,A class definition includes data members ( attributes ) and member functions .,member functions
2.1.3,UNT,Concept-completion,What is typically included in a class definition?,A class definition includes information telling the compiler what data members and member functions belong to the class .,A class definition includes data members ( attributes ) and member functions ., 
2.1.4,UNT,Concept-completion,What is typically included in a class definition?,Since class is user-defined,A class definition includes data members ( attributes ) and member functions ., 
2.1.5,UNT,Concept-completion,What is typically included in a class definition?,A class definition includes an object and data .,A class definition includes data members ( attributes ) and member functions .,member functions
2.1.6,UNT,Concept-completion,What is typically included in a class definition?,A class definition includes specific class name,A class definition includes data members ( attributes ) and member functions .,member functions
2.1.11,UNT,Concept-completion,What is typically included in a class definition?,A class definition includes member functions and data members belonging to the class .,A class definition includes data members ( attributes ) and member functions ., 
2.1.12,UNT,Concept-completion,What is typically included in a class definition?,A class definition includes a public and private area that includes the functions and variables that are used in the class .,A class definition includes data members ( attributes ) and member functions ., 
2.1.13,UNT,Concept-completion,What is typically included in a class definition?,A class definition includes the keyword class followed by the class name,A class definition includes data members ( attributes ) and member functions .,member functions
2.1.16,UNT,Concept-completion,What is typically included in a class definition?,A class definition includes the data and methods .,A class definition includes data members ( attributes ) and member functions ., 
2.1.17,UNT,Concept-completion,What is typically included in a class definition?,A class definition includes a constructor,A class definition includes data members ( attributes ) and member functions ., 
2.1.19,UNT,Concept-completion,What is typically included in a class definition?,A class definition includes public section and private section,A class definition includes data members ( attributes ) and member functions .,Data members ( attributes ) . member functions
2.1.23,UNT,Concept-completion,What is typically included in a class definition?,A class definition includes the class name and its public data types such as constructors,A class definition includes data members ( attributes ) and member functions .,Data members ( attributes )
2.1.24,UNT,Concept-completion,What is typically included in a class definition?,A class definition includes a constructor and several data members,A class definition includes data members ( attributes ) and member functions ., 
2.1.28,UNT,Concept-completion,What is typically included in a class definition?,A class definition includes functions and data members that belong to the class .,A class definition includes data members ( attributes ) and member functions ., 
2.1.30,UNT,Concept-completion,What is typically included in a class definition?,A class is an expanded concept of a data structure,A class definition includes data members ( attributes ) and member functions ., 
2.5.1,UNT,Concept-completion,How many constructors can be created for a class?,One can create just one constructor per class .,One can create unlimited number of constructors for a class .,Unlimited number
2.5.2,UNT,Concept-completion,How many constructors can be created for a class?,One can create as many constructors as one wants per class so long as they have different parameters . ,One can create unlimited number of constructors for a class ., 
2.5.3,UNT,Concept-completion,How many constructors can be created for a class?,There is no limit to the number of constructors in a class because like functions,One can create unlimited number of constructors for a class ., 
2.5.5,UNT,Concept-completion,How many constructors can be created for a class?,In C plus plus,One can create unlimited number of constructors for a class ., 
2.5.8,UNT,Concept-completion,How many constructors can be created for a class?,One can create one constructor per class .,One can create unlimited number of constructors for a class .,Unlimited number
1.2.2,UNT,Concept-completion,What stages in the software life cycle are influenced by the testing stage?,The testing stage effects the implementation phase and the maintenance phase .,The testing stage can influence both the coding stage ( phase 5 ) and the solution refinement stage ( phase 7 ) .,The solution refinement stage ( phase 7 )
1.2.3,UNT,Concept-completion,What stages in the software life cycle are influenced by the testing stage?,The testing stage influences verification,The testing stage can influence both the coding stage ( phase 5 ) and the solution refinement stage ( phase 7 ) ., 
1.2.5,UNT,Concept-completion,What stages in the software life cycle are influenced by the testing stage?,The Testing stage influences Refining the solution,The testing stage can influence both the coding stage ( phase 5 ) and the solution refinement stage ( phase 7 ) .,The coding stage ( phase 5 )
1.2.6,UNT,Concept-completion,What stages in the software life cycle are influenced by the testing stage?,Testing stage affects Elaboration,The testing stage can influence both the coding stage ( phase 5 ) and the solution refinement stage ( phase 7 ) .,The coding stage ( phase 5 ) . the solution refinement stage ( phase 7 )
1.2.10,UNT,Concept-completion,What stages in the software life cycle are influenced by the testing stage?,Testing stage influences Refining and Coding .,The testing stage can influence both the coding stage ( phase 5 ) and the solution refinement stage ( phase 7 ) ., 
1.2.16,UNT,Concept-completion,What stages in the software life cycle are influenced by the testing stage?,The Testing stage directly influences Refining,The testing stage can influence both the coding stage ( phase 5 ) and the solution refinement stage ( phase 7 ) ., 
1.2.17,UNT,Concept-completion,What stages in the software life cycle are influenced by the testing stage?,The Testing stage influences Testing,The testing stage can influence both the coding stage ( phase 5 ) and the solution refinement stage ( phase 7 ) .,The coding stage ( phase 5 )
1.2.24,UNT,Concept-completion,What stages in the software life cycle are influenced by the testing stage?,The Testing stage influences removing logical errors,The testing stage can influence both the coding stage ( phase 5 ) and the solution refinement stage ( phase 7 ) .,The coding stage ( phase 5 ) . the solution refinement stage ( phase 7 )
1.4.8,UNT,Concept-completion,Where do C plus plus programs begin to execute?,C plus plus programs begin to execute in the testing phase .,C plus plus programs begin to execute at the main function .,At the main function
1.4.13,UNT,Concept-completion,Where do C plus plus programs begin to execute?,C plus plus programs begin to execute at the root .,C plus plus programs begin to execute at the main function .,At the main function
1.4.20,UNT,Concept-completion,Where do C plus plus programs begin to execute?,After loading the required include statements and libraries,C plus plus programs begin to execute at the main function ., 
1.4.23,UNT,Concept-completion,Where do C plus plus programs begin to execute?,C plus plus programs begin execution at the main function .,C plus plus programs begin to execute at the main function ., 
3.1.1,UNT,Concept-completion,What does a function signature include?,A function signature includes the name of the program,A function signature includes the name of the function and the types of the parameters ., 
3.1.2,UNT,Concept-completion,What does a function signature include?,A function signature includes the specific information about the function . This specific information is input and output variable types and how many of each .,A function signature includes the name of the function and the types of the parameters .,The name of the function . the types of the parameters
3.1.4,UNT,Concept-completion,What does a function signature include?,A function signature consists of the function prototype . This tells one the general information about a function,A function signature includes the name of the function and the types of the parameters ., 
3.1.5,UNT,Concept-completion,What does a function signature include?,A function signature includes the name of the function and the types of its arguments .,A function signature includes the name of the function and the types of the parameters ., 
3.1.6,UNT,Concept-completion,What does a function signature include?,A function signature includes name,A function signature includes the name of the function and the types of the parameters ., 
3.1.7,UNT,Concept-completion,What does a function signature include?,A function signature includes a function name and parameter list . It does not include return type . Function signatures must be different .,A function signature includes the name of the function and the types of the parameters ., 
3.1.8,UNT,Concept-completion,What does a function signature include?,A function signature includes input parameters and return type .,A function signature includes the name of the function and the types of the parameters .,The name of the function
3.1.9,UNT,Concept-completion,What does a function signature include?,A function signature is the portion of the function prototype that has the function name and the arguments but NOT the return type .,A function signature includes the name of the function and the types of the parameters ., 
7.2.1,UNT,Concept-completion,What is the main advantage of linked lists over arrays?,One can insert elements into a linked list at any point . One does not need to resize linked list unlike one needs to resize an array . ,The linked lists can be of variable length ., 
1.5.1,UNT,Definition,What is a variable?,Variable can be a integer or a string in a program .,A variable is a location in memory that can store a value .,A location in memory that can store a value
1.5.15,UNT,Definition,What is a variable?,A variable is the memory address for a specific type of stored data,A variable is a location in memory that can store a value ., 
1.5.13,UNT,Definition,What is a variable?,A variable is a value or word that can assume any of a set of values .,A variable is a location in memory that can store a value .,A location in memory
12.1.15,UNT,Definition,What is a pointer?,A pointer is a data type with a memory address and a value .,A pointer is the address of a location in memory .,The address of a location in memory
12.1.19,UNT,Definition,What is a pointer?,A pointer is an element that references a memory location .,A pointer is the address of a location in memory ., 
6.7.7,UNT,Definition,What is a function pointer?,A function pointer is a pointer to a function .,A function pointer is the address of the location in memory where the function code resides ., 
7.1.18,UNT,Definition,What is a linked list?,A linked list is an array based list that uses an implicit ordering scheme,A linked list is a collection of elements that one can allocate dynamically .,A collection of elements that one can allocate dynamically
7.1.21,UNT,Definition,What is a linked list?,A linked list is a data structure which is built from structures and pointers . It forms a chain of nodes with pointers representing the links of the chain and holding the entire thing together .,A linked list is a collection of elements that one can allocate dynamically .,that one can allocate dynamically
8.1.3,UNT,Definition,What is a stack?,A stack stores a set of elements in a particular order .,A stack is a data structure that can store elements,which has the property that the last item added will be the first to be removed ( or last-in-first-out )
8.1.11,UNT,Definition,What is a stack?,A stack is a data type that stores a set of elements in a certain order,A stack is a data structure that can store elements, 
8.1.25,UNT,Definition,What is a stack?,A stack is a finite ordered list with zero or more elements .,A stack is a data structure that can store elements,which has the property that the last item added will be the first to be removed ( or last-in-first-out )
8.1.5,UNT,Definition,What is a stack?,A stack is a list in which one can only modify the top ( or last item added ) .,A stack is a data structure that can store elements, 
9.1.22,UNT,Definition,What is a queue?,Queue is a buffer,A queue is a data structure that can store elements,which has the property that the last item added will be the last to be removed ( or first-in-first-out )
9.1.16,UNT,Definition,What is a queue?,Queue stores a set of elements in a particular order with a First In,A queue is a data structure that can store elements, 
9.1.27,UNT,Definition,What is a queue?,The queue is another data structure . A physical analogy for a queue is a line at a bank . When one goes to the bank,A queue is a data structure that can store elements, 
10.1.18,UNT,Definition,What is a tree?,A tree is a set of data arranged with pointers . Each element can have many pointers,A tree is a collection of nodes,"which has a special node called root . One partitions the rest of the nodes into one or more disjoint sets, each set being a tree"
10.1.16,UNT,Definition,What is a tree?,A tree is a finite set of one or more nodes such that there is a specially designated node called the root . One partitions the remaining nodes into n is greater than or equal to 0 disjoint sets T the n + 1,A tree is a collection of nodes, 
10.1.24,UNT,Definition,What is a tree?,A tree is a type of data structure in which each element is attached to one or more elements directly beneath it .,A tree is a collection of nodes,"which has a special node called root . One partitions the rest of the nodes into one or more disjoint sets, each set being a tree"
10.3.13,UNT,Definition,What is a leaf?,A leaf is the last value in the tree,A leaf is a node that has no children ., 
10.3.9,UNT,Definition,What is a leaf?,A leaf is the node with degree 0 .,A leaf is a node that has no children .,that has no children
10.4.16,UNT,Definition,What is a binary tree?,A binary tree is a set of nodes that is either empty or partitioned into a root node and one or two subsets that are binary subtrees of the root . Each node has at most two children,A binary tree is a tree for which the maximum number of children per node is two ., 
10.4.20,UNT,Definition,What is a binary tree?,A binary tree is a tree where every parent has only two children .,A binary tree is a tree for which the maximum number of children per node is two .,maximum number of children per node is two
10.5.13,UNT,Definition,What is a binary search tree?,A binary search tree is a tree that is set up so that one can easily search it for numbers based on the location compared to the previous nodes .,A binary search tree is a binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child .,A binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child
10.5.24,UNT,Definition,What is a binary search tree?,Binary search trees are a fundamental data structure that one uses to construct more abstract data structures such as sets,A binary search tree is a binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child .,A binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child
10.6.2,UNT,Definition,What is the inorder traversal of a binary tree?,The inorder traversal of a binary tree visits the node of a binary tree in order according to their data values .,The inorder traversal of a binary tree is traverse the left subtree,"Traverse the left subtree, then the root, then the right subtree"
10.6.18,UNT,Definition,What is the inorder traversal of a binary tree?,The inorder traversal of a binary tree is a traversal that visits the left branch first,The inorder traversal of a binary tree is traverse the left subtree, 
10.6.4,UNT,Definition,What is the inorder traversal of a binary tree?,One uses the inorder traversal of a binary tree to visit nodes of a binary search tree in a search key order .,The inorder traversal of a binary tree is traverse the left subtree,"Traverse the left subtree, then the root, then the right subtree"
11.4.10,UNT,Definition,What is a function signature?,A function signature is return type,A function signature is the name of the function and the list of parameters, 
11.4.14,UNT,Definition,What is a function signature?,A function signature is the return type and accepted pass value type it takes .,A function signature is the name of the function and the list of parameters,The name of the function
11.4.6,UNT,Definition,What is a function signature?,A function signature is the declaration of the function .,A function signature is the name of the function and the list of parameters, 
11.5.9,UNT,Definition,What is a recursive function?,A recursive function is a function that calls itself . With each function call the problem is diminished .,A recursive function is a function that calls itself ., 
10.5.19,UNT,Definition,What is a binary search tree?,A binary search tree is a special binary tree one arranges such that every left child node contains a value less than its parent,A binary search tree is a binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child ., 
1.5.2,UNT,Definition,What is a variable?,In programming,A variable is a location in memory that can store a value ., 
1.5.3,UNT,Definition,What is a variable?,A variable is a location in memory where one can store a value .,A variable is a location in memory that can store a value ., 
1.5.6,UNT,Definition,What is a variable?,A variable is a named object that can hold a numerical or letter value .,A variable is a location in memory that can store a value .,a location in memory that can store a value
1.5.29,UNT,Definition,What is a variable?,A variable is a method or identifier one would say,A variable is a location in memory that can store a value ., 
12.1.3,UNT,Definition,What is a pointer?,A pointer is a variable that stores the address of another variable .,A pointer is the address of a location in memory ., 
12.1.13,UNT,Definition,What is a pointer?,A pointer is an alias to an object in memory .,A pointer is the address of a location in memory ., 
12.1.28,UNT,Definition,What is a pointer?,A pointer is like a variable but only holds an address in memory not the physical address .,A pointer is the address of a location in memory .,the address of a location in memory
7.1.11,UNT,Definition,What is a linked list?,A linked list is information in memory linked to the next piece of information . One can link it only forwards and not backwards .,A linked list is a collection of elements that one can allocate dynamically .,that one can allocate dynamically
7.1.20,UNT,Definition,What is a linked list?,A linked list is a collection of objects each containing at least one data member,A linked list is a collection of elements that one can allocate dynamically .,that one can allocate dynamically
8.1.1,UNT,Definition,What is a stack?,A stack is a data structure for storing items which one accesses in last-in first-out order . One can implement it in three ways .,A stack is a data structure that can store elements, 
8.1.2,UNT,Definition,What is a stack?,A stack is an abstract data type . It is based on the principle that the last element inserted into the stack will be the first element to be removed from the stack .,A stack is a data structure that can store elements, 
8.1.14,UNT,Definition,What is a stack?,A stack is a list that one can add to or remove from only from the top .,A stack is a data structure that can store elements, 
8.1.26,UNT,Definition,What is a stack?,A stack is a storage container that holds objects in a certain order,A stack is a data structure that can store elements, 
9.1.24,UNT,Definition,What is a queue?,A queue is a data structure that removes nodes from the head and adds nodes at the tail .,A queue is a data structure that can store elements, 
9.1.19,UNT,Definition,What is a queue?,A queue is a finite ordered list with zero or more elements,A queue is a data structure that can store elements, 
10.1.8,UNT,Definition,What is a tree?,A tree is a set of one or more nodes that is hierarchically organized,A tree is a collection of nodes, 
10.1.21,UNT,Definition,What is a tree?,A tree is a nonlinear,A tree is a collection of nodes,"a collection of nodes, which has a special node called root . One partitions the rest of the nodes into one or more disjoint sets, each set being a tree"
10.3.5,UNT,Definition,What is a leaf?,A leaf is an end point of the tree . It is a node that does not have any children .,A leaf is a node that has no children ., 
10.3.18,UNT,Definition,What is a leaf?,A leaf is an endpoint on a tree that contains no pointers or pointers that are set to null .,A leaf is a node that has no children ., 
2.3.3,UNT,Explanation,What is the difference between a constructor and a function?,Unlike regular functions,One calls a constructor whenever one creates an object , 
2.3.1,UNT,Explanation,What is the difference between a constructor and a function?,A constructor initializes an object or objects of a class . A function of a class performs a task such as display a line of text or do some kind of mathematical operations .,One calls a constructor whenever one creates an object , 
2.3.8,UNT,Explanation,What is the difference between a constructor and a function?,A constructor does not return any data and has no return type . Functions can return data or not return data and can have a return type .,One calls a constructor whenever one creates an object ,"One calls a constructor whenever one creates an object , whereas one needs to call a function explicitly"
2.3.22,UNT,Explanation,What is the difference between a constructor and a function?,A constructor is a function used to initialize an object's data when one creates it . Its call is made implicitly when one creates the object and one must define it with the same name as the class . Constructor also cannot return a value like a function can .,One calls a constructor whenever one creates an object , 
2.3.23,UNT,Explanation,What is the difference between a constructor and a function?,A constructor is used to create an instance of a class and has the same name as that class . A function cannot have the same name as a class and computes data .,One calls a constructor whenever one creates an object ,"Constructors do not have return type, but functions have to indicate a return type"
2.3.15,UNT,Explanation,What is the difference between a constructor and a function?,One uses a constructor to create an object that one can employ in the main function of a program . This may or may not execute code along with it . A function is a set of code that executes when called ,One calls a constructor whenever one creates an object ,"Constructors do not have return type, but functions have to indicate a return type"
3.5.3,UNT,Explanation,How are overloaded functions differentiated by the compiler?,The compiler distinguishes overloaded functions by their signatures . It encodes each function identifier with the number and types of its parameters to generate type-safe linkage,The compiler differentiates overloaded functions based on the function signature . When one calls an overloaded function, 
3.5.4,UNT,Explanation,How are overloaded functions differentiated by the compiler?,The signatures,The compiler differentiates overloaded functions based on the function signature . When one calls an overloaded function, 
3.5.8,UNT,Explanation,How are overloaded functions differentiated by the compiler?,Overloaded functions must have the same return type but different input parameters .,The compiler differentiates overloaded functions based on the function signature . When one calls an overloaded function,"When one calls an overloaded function, the compiler will find the function whose signature is closest to the given function call"
3.5.31,UNT,Explanation,How are overloaded functions differentiated by the compiler?,Overloaded function simply involves having a method with the same name within the class . It is used to implement a method for subclass which overrides in other words replaces the implementation of the super class . Overloading the concept of providing different meaning to a object based on the context of its presence . Overloading is one type of polymorphism and this is also a feature in programming .,The compiler differentiates overloaded functions based on the function signature . When one calls an overloaded function, the compiler will find the function whose signature is closest to the given function call
2.3.2,UNT,Explanation,What is the difference between a constructor and a function?,All constructors are functions but not all functions are constructors . Also functions can have nearly infinite purposes,One calls a constructor whenever one creates an object,"One needs to call a function explicitly . Constructors do not have return type, but functions have to indicate a return type "
2.3.4,UNT,Explanation,What is the difference between a constructor and a function?,One typically uses a constructor to initialize data members and allocate resources,One calls a constructor whenever one creates an object,one needs to call a function explicitly . Functions have to indicate a return type
2.3.5,UNT,Explanation,What is the difference between a constructor and a function?,Constructors cannot return values,One calls a constructor whenever one creates an object,"One calls a constructor whenever one creates an object, whereas one needs to call a function explicitly . Functions have to indicate a return type"
2.3.6,UNT,Explanation,What is the difference between a constructor and a function?,A constructor is a method that starts new instances of a class . ( Example: Employee employee 1 ( parameters ) starts a new instance of object of type Employee ) . A function is simply a module within a program that completes its single desired task .,One calls a constructor whenever one creates an object,"One needs to call a function explicitly . Constructors do not have return type, but functions have to indicate a return type"
2.3.16,UNT,Explanation,What is the difference between a constructor and a function?,A constructor initializes data members but the functions actually perform tasks . Constructors cannot return values either .,One calls a constructor whenever one creates an object, 
2.3.26,UNT,Explanation,What is the difference between a constructor and a function?,A constructor cannot return values,One calls a constructor whenever one creates an object, 
2.3.27,UNT,Explanation,What is the difference between a constructor and a function?,A constructor initializes an object . A function is part of an object .,One calls a constructor whenever one creates an object,"One needs to call a function explicitly . Constructors do not have return type, but functions have to indicate a return type "
2.3.30,UNT,Explanation,What is the difference between a constructor and a function?,Constructor is a special block of statements that one calls when one creates an object,One calls a constructor whenever one creates an object,"Constructors do not have return type, but functions have to indicate a return type"
1.6.5,UNT,Explanation,Where are variables declared in a C plus plus program?,One declares variables before one actually uses them . One can declare them before main ( ) to use globally .,One can declare variables anywhere in a program . One can declare them inside a function ( local variables ) or outside the functions ( global variables ) .,One can declare variables anywhere in a program . One can declare them inside a function ( local variables )
1.6.7,UNT,Explanation,Where are variables declared in a C plus plus program?,One can declare variables globally just before the main method ( but also outside of the main method ) . Alternatively,One can declare variables anywhere in a program . One can declare them inside a function ( local variables ) or outside the functions ( global variables ) ., 
1.6.11,UNT,Explanation,Where are variables declared in a C plus plus program?,One declares variables usually at the beginning before one can use them in the program . They always contain a name and a data type .,One can declare variables anywhere in a program . One can declare them inside a function ( local variables ) or outside the functions ( global variables ) .,One can declare them inside a function ( local variables ) or outside the functions ( global variables )
1.6.18,UNT,Explanation,Where are variables declared in a C plus plus program?,One declares variables in the declaration of Functions,One can declare variables anywhere in a program . One can declare them inside a function ( local variables ) or outside the functions ( global variables ) ., 
1.6.29,UNT,Explanation,Where are variables declared in a C plus plus program?,It depends if variable is global then one has to declare variables outside the source code to be used in every scope . However a local variable is one that one declares in a local function . Obviously one does not need to declare it outside the variable seeing how one uses it for the function or block it is being called for .,One can declare variables anywhere in a program . One can declare them inside a function ( local variables ) or outside the functions ( global variables ) ., 
2.2.5,UNT,Explanation,What is the difference between a data member and a local variable inside a member function?,One cannot access a local variable outside the function in which it is declared . Data members normally are private . Variables of functions declared private are accessible only to member functions of the class in which they are declared .,One can access data members from any member functions inside the class defintion . One can only access local variables inside the member function that defines them ., 
2.2.14,UNT,Explanation,What is the difference between a data member and a local variable inside a member function?,A data member is a more general term describing all objects instantiated within a member function . 'Local' in local variables refers more to the scope of a variable,One can access data members from any member functions inside the class defintion . One can only access local variables inside the member function that defines them .,One can access data members from any member functions inside the class defintion . One can only access local variables inside the member function that defines them
2.2.15,UNT,Explanation,What is the difference between a data member and a local variable inside a member function?,A data member exists permanently in the program's memory as long as the program is run . A local variable inside a member function is temporal and only used to operate in the function and exists as long as the function is run .,One can access data members from any member functions inside the class defintion . One can only access local variables inside the member function that defines them .,One can access data members from any member functions inside the class defintion
2.6.3,UNT,Explanation,What is the difference between a function prototype and a function definition?,A function prototype tells the compiler the function name,A function prototype includes the function signature, 
2.6.4,UNT,Explanation,What is the difference between a function prototype and a function definition?,Function prototype is a declaration . Function definitions ( with multiple parameters ) often require more than one piece of information to perform their tasks .,A function prototype includes the function signature,The function definition includes the actual body of the function
4.4.17,UNT,Explanation,"What is the difference between an array declared as static, and one that is not?",Static arrays are those with a declared size ,The arrays declared as static live throughout the life of the program . The programmer can initialize them only once,"The programmer can initialize them only once, when the programmer first calls the the function that declares the array"
4.4.4,UNT,Explanation,"What is the difference between an array declared as static, and one that is not?",A program initializes static local arrays when one first encounters their declarations . If the programmer does not explicitly initialize a static array,The arrays declared as static live throughout the life of the program. The programmer can initialize them only once,The arrays declared as static live throughout the life of the program
1.6.1,UNT,Explanation,Where are variables declared in a C plus plus program?,One can declare variables right before one uses them . But it is a good practice to declare them at the beginning of the program and label what they are food.,One can declare variables anywhere in a program . One can declare them inside a function ( local variables ) or outside the functions ( global variables ) .,One can declare variables anywhere in a program . One can declare variables inside a function ( local variables ) or outside the functions ( global variables )
1.6.14,UNT,Explanation,Where are variables declared in a C plus plus program?,One can declare global variables in the body of the code . One declares local variables in the function they are to be used ( unless the function is being passed a variable ) . One should always declare variables before use .,One can declare variables anywhere in a program . One can declare them inside a function ( local variables ) or outside the functions ( global variables ) ., 
1.6.16,UNT,Explanation,Where are variables declared in a C plus plus program?,In the main function,One can declare variables anywhere in a program . One can declare them inside a function ( local variables ) or outside the functions ( global variables ) .,One can declare variables inside a function ( local variables ) or outside the functions ( global variables )
1.6.17,UNT,Explanation,Where are variables declared in a C plus plus program?,One can declare variables in the very beginning of the program . Before the main ( ) starts .,One can declare variables anywhere in a program . One can declare them inside a function ( local variables ) or outside the functions ( global variables ) .,One can declare variables anywhere in a program . One can declare them inside a function ( local variables ) or outside the functions ( global variables )
1.6.26,UNT,Explanation,Where are variables declared in a C plus plus program?,One usually declare variables at the very beginning of a C plus plus program . But one can declare it any where in the program as long as they appear before one calls them upon .,One can declare variables anywhere in a program . One can declare them inside a function ( local variables ) or outside the functions ( global variables ) .,One can declare variables inside a function ( local variables ) or outside the functions ( global variables )
2.2.3,UNT,Explanation,What is the difference between a data member and a local variable inside a member function?,One declares data members inside the class,One can access data members from any member functions inside the class defintion . One can only access local variables inside the member function that defines them .,One can access local variables only inside the member function that defines them
2.2.4,UNT,Explanation,What is the difference between a data member and a local variable inside a member function?,Data members are variables that represent an attribute in a class definition . One cannot use local variables Local variables declared in a function body cannot be used outside of that function body . When a function terminates the values of its local variables are lost .,One can access data members from any member functions inside the class defintion . One can only access local variables inside the member function that defines them .,One can access data members from any member functions inside the class defintion
2.2.6,UNT,Explanation,What is the difference between a data member and a local variable inside a member function?,A data member is part of a C plus plus class or structure that stores data of a certain type . A local variable inside a member function is only available inside that function,One can access data members from any member functions inside the class defintion . One can only access local variables inside the member function that defines them .,One can access data members from any member functions inside the class defintion
2.2.8,UNT,Explanation,What is the difference between a data member and a local variable inside a member function?,Data members are the attributes of the function and one can use them outside the function . One can not use local variable outside the function and the value is lost after the function terminates .,One can access data members from any member functions inside the class defintion . One can only access local variables inside the member function that defines them ., 
2.2.19,UNT,Explanation,What is the difference between a data member and a local variable inside a member function?,Data member is accessible to all functions in the class,One can access data members from any member functions inside the class defintion . One can only access local variables inside the member function that defines them ., 
2.2.26,UNT,Explanation,What is the difference between a data member and a local variable inside a member function?,Data members are local variables that one declares in a function definition's body . One cannot use them outside of that function body . When a function terminates,One can access data members from any member functions inside the class definition . One can only access local variables inside the member function that defines them .,One can access data members from any member functions inside the class defintion
2.6.2,UNT,Explanation,What is the difference between a function prototype and a function definition?,The FUNCTION PROTOTYPE is where the programmer declares that he or she is using a function other than main ( ) . This is like declaring a variable . The programmer knows that he or she will be using in the future,A function prototype includes the function signature,"A function prototype includes the return type, and the parameters's type"
2.6.14,UNT,Explanation,What is the difference between a function prototype and a function definition?,A function prototype lays out the name,A function prototype includes the function signature, 
2.6.15,UNT,Explanation,What is the difference between a function prototype and a function definition?,A function definition is the code that defines the function placed in the brackets that determines that function 's operation . A function prototype shows the function's public interface without exposing implementation . It shows name,A function prototype includes the function signature, 
2.6.16,UNT,Explanation,What is the difference between a function prototype and a function definition?,A function prototype is just a declaration of the function existing . One cannot use it as an actual function . One has to create a function with a definition within to tell the compiler what the function does .,A function prototype includes the function signature,The function definition includes the actual body of the function
2.6.17,UNT,Explanation,What is the difference between a function prototype and a function definition?,The Prototype creates a framework to call the function definition . While a function definition is where one actually programmes out the function and creates it into a final product .,A function prototype includes the function signature, 
4.4.1,UNT,Explanation,"What is the difference between an array declared as static, and one that is not?",A static array will store the new values that one assigned them to each of its elements. Meaning if one calls a function twice it will use the last values that were returned the first time. If one does not declare it static then the new values will not be stored and will be reset to their original value.,The arrays declared as static live throughout the life of the program . One can initialize them only once, 
