student_answer_id,question_paper,question_text,student_answer,model_answer,gap,
SWITCH_TABLE_EXPLAIN_Q3.57t,Beetle_Train,Under what circumstances will a switch affect a bulb?,A switch affects a bulb when the switch is in the same path as the bulb .,A switch will affect a bulb when the same path contains the switch and the bulb ., ,
SWITCH_TABLE_EXPLAIN_Q3.64t,Beetle_Train,Under what circumstances will a switch affect a bulb?,A switch affects a bulb when it disrupts a complete path .,A switch will affect a bulb when the same path contains the switch and the bulb .,When the same path contains the switch and the bulb,
SWITCH_TABLE_EXPLAIN_Q3.66t,Beetle_Train,Under what circumstances will a switch affect a bulb?,A switch affects a bulb when the switch is connected between the bulb and the battery .,A switch will affect a bulb when the same path contains the switch and the bulb ., ,
PARALLEL_SWITCH_EXPLAIN_Q3.46t,Beetle_Train,What role does the path play in determining whether or not a switch affects a bulb?,Switch is closed to make a closed path .,The switch and the bulb have to be in the same path .,The switch and the bulb have to be in the same path,
PARALLEL_SWITCH_EXPLAIN_Q3.48t,Beetle_Train,What role does the path play in determining whether or not a switch affects a bulb?,A switch will affect the bulb if the same path contains them .,If a bulb and a switch are in the same path the switch affects the bulb ., ,
PARALLEL_SWITCH_EXPLAIN_Q3.54t,Beetle_Train,What role does the path play in determining whether or not a switch affects a bulb?,The path determines if the bulb will turn on or not .,If a bulb and a switch are in the same path the switch affects the bulb .,If a bulb and a switch are in the same path the switch affects the bulb,
PARALLEL_SWITCH_EXPLAIN_Q3.60t,Beetle_Train,What role does the path play in determining whether or not a switch affects a bulb?,If the path is open the bulb will be off .,If a bulb and a switch are in the same path the switch affects the bulb .,If a bulb and a switch are in the same path the switch affects the bulb,
PARALLEL_SWITCH_EXPLAIN_Q3.62t,Beetle_Train,What role does the path play in determining whether or not a switch affects a bulb?,If a switch is not in a bulbs closed circuit then it will not affect the bulb .,If a bulb and a switch are in the same path the switch affects the bulb .,If a bulb and a switch are in the same path the switch affects the bulb,
VOLTAGE_DIFF_DISCUSS_2_Q.30t,Beetle_Train,What does a voltage reading of 1.5 tell you about the connection between a bulb terminal and a battery terminal?,There is no gap between the bulb terminal and the battery terminal .,The terminals are in different electrical states that means someone did not connect the terminals or a gap separates the terminals .,someone did not connect the terminals or a gap separates the terminals,
VOLTAGE_DIFF_DISCUSS_2_Q.32t,Beetle_Train,What does a voltage reading of 1.5 tell you about the connection between a bulb terminal and a battery terminal?,One does not know .,The terminals are in different electrical states that means someone did not connect the terminals or a gap separates the terminals .,The terminals are in different electrical states that means someone did not connect the terminals or a gap separates the terminals,
VOLTAGE_DIFF_DISCUSS_2_Q.35t,Beetle_Train,What does a voltage reading of 1.5 tell you about the connection between a bulb terminal and a battery terminal?,There is no gap between the positive battery terminal and the bulb terminal .,The terminals are in different electrical states that means someone did not connect the terminals or a gap separates the terminals .,someone did not connect the terminals or a gap separates the terminals,
VOLTAGE_DIFF_DISCUSS_2_Q.38t,Beetle_Train,What does a voltage reading of 1.5 tell you about the connection between a bulb terminal and a battery terminal?,Someone connected a terminal to the same states .,The terminals are in different electrical states that means someone did not connect the terminals or a gap separates the terminals .,The terminals are in different electrical states,
VOLTAGE_DIFF_DISCUSS_2_Q.39t,Beetle_Train,What does a voltage reading of 1.5 tell you about the connection between a bulb terminal and a battery terminal?,There is a difference in electrical states .,The terminals are in different electrical states that means someone did not connect the terminals or a gap separates the terminals ., ,
VOLTAGE_DIFF_DISCUSS_2_Q.40t,Beetle_Train,What does a voltage reading of 1.5 tell you about the connection between a bulb terminal and a battery terminal?,The bulb terminal has no gap and the bulb will light .,The terminals are in different electrical states that means someone did not connect the terminals or a gap separates the terminals .,someone did not connect the terminals or a gap separates the terminals,
DAMAGED_BULB_EXPLAIN_2_Q.67t,Beetle_Train,Why does a damaged bulb impact a circuit?,One is not sure .,A damaged bulb creates a gap in the circuit or there is an incomplete circuit .,a damaged bulb creates a gap in the circuit or there is an incomplete circuit.,
DAMAGED_BULB_EXPLAIN_2_Q.69t,Beetle_Train,Why does a damaged bulb impact a circuit?,Someone closed the path .,There is an incomplete circuit. A damaged bulb creates a gap in the circuit. There is an open path .,There is an incomplete circuit . A damaged bulb creates a gap in the circuit . There is an open path.,
DAMAGED_BULB_EXPLAIN_2_Q.76t,Beetle_Train,Why does a damaged bulb impact a circuit?,A damaged bulb does not impact a circuit .,A damaged bulb creates a gap in the circuit or there is an incomplete circuit .,a damaged bulb creates a gap in the circuit or there is an incomplete circuit.,
HYBRID_BURNED_OUT_WHY_Q3.85t,Beetle_Train,Under what circumstances will a damaged/ burned out bulb affect another bulb?,A damaged bulb will affect another bulb if it is on a series with other bulbs .,"If the burned out bulb and the other bulb are in the same path the burned out bulb affects the other bulb that means it depends on whether or not, they are in the same path .", ,
HYBRID_BURNED_OUT_WHY_Q3.88t,Beetle_Train,Under what circumstances will a damaged/ burned out bulb affect another bulb?,Open switch and broken bulb are the same .,"If the burned out bulb and the other bulb are in the same path the burned out bulb affects the other bulb that means it depends on whether or not, they are in the same path .","If they are in the same path the burned out bulb affects the other bulb that means it depends on whether or not, they are in the same path.",
HYBRID_BURNED_OUT_WHY_Q3.89t,Beetle_Train,Under what circumstances will a damaged/ burned out bulb affect another bulb?,A switch affects a bulb if the bulb is on the same closed path .,"If the burned out bulb and the other bulb are in the same path the burned out bulb affects the other bulb that means it depends on whether or not, they are in the same path .", ,
VOLTAGE_DIFF_DISCUSS_1_Q.90t,Beetle_Train,What does a voltage reading of 0 tell you about the connection between a bulb terminal and a battery terminal?,That the bulb terminal is only connected to one of the battery terminals .,"The terminals are in the same state or connected that means , there is no gap between the terminals .","The terminals are in the same state or connected that means, there is no gap between the terminals",
VOLTAGE_DIFF_DISCUSS_1_Q.92t,Beetle_Train,What does a voltage reading of 0 tell you about the connection between a bulb terminal and a battery terminal?,There is a gap between the bulb terminal and the battery terminal .,"The terminals are in the same state or connected that means , there is no gap between the terminals .",there is no gap between the terminals,
VOLTAGE_DIFF_DISCUSS_1_Q.95t,Beetle_Train,What does a voltage reading of 0 tell you about the connection between a bulb terminal and a battery terminal?,That someone damaged the bulb .,"The terminals are in the same state or connected that means , there is no gap between the terminals .","The terminals are in the same state or connected that means, there is no gap between the terminals",
VOLTAGE_DIFF_DISCUSS_1_Q.96t,Beetle_Train,What does a voltage reading of 0 tell you about the connection between a bulb terminal and a battery terminal?,That there is a gap .,"The terminals are in the same state or connected that means , there is no gap between the terminals .",there is no gap between the terminals,
BURNED_BULB_LOCATE_EXPLAIN_Q.99t,Beetle_Train,"Why does measuring voltage help you locate a burned out bulb? Try to answer in terms of electrical states, connections and/ or a gap.",There is a gap between the positive battery terminal and the bulb terminal .,Measuring voltage indicates the place where the electrical state changes due to a damaged bulb or due to a gap . It also indicates whether a gap separates the two terminals or the two terminals are connected .,Measuring voltage indicates the place where the electrical state changes due to a damaged bulb or due to a gap . It also indicates whether a gap separates the two terminals or the two terminals are connected .,
BURNED_BULB_LOCATE_EXPLAIN_Q.106t,Beetle_Train,"Why does measuring voltage help you locate a burned out bulb? Try to answer in terms of electrical states, connections and/ or a gap.",A battery uses a chemical reaction to maintain different electrical states between two terminals .,Measuring voltage indicates the place where the electrical state changes due to a damaged bulb or due to a gap . It also indicates whether a gap separates the two terminals or the two terminals are connected .,Measuring voltage indicates the place where the electrical state changes due to a damaged bulb or due to a gap . It also indicates whether a gap separates the two terminals or the two terminals are connected .,
SHORT_CIRCUIT_X_Q.56t,Beetle_Train,What do you think the red X means?,The sign means an open path .,Someone damaged the battery or there is a short circuit .,Someone damaged the battery . there is a short circuit.,
SHORT_CIRCUIT_X_Q.60t,Beetle_Train,What do you think the red X means?,The battery is not working and is dead .,Someone damaged the battery or there is a short circuit ., ,
CONDITIONS_FOR_BULB_TO_LIGHT.100t,Beetle_Train,What are the conditions that are required to make a bulb light up?,Battery is in a holder .,"One has to connect one terminal of the bulb to one terminal of the battery, and one has to connect the other terminal of the bulb to the different terminal of the battery that means there is a closed path containing both the bulb and a battery in a complete circuit .","One has to connect one terminal of the bulb to one terminal of the battery, and one has to connect the other terminal of the bulb to the different terminal of the battery . There is a closed path containing both the bulb and a battery in a complete circuit.",
CONDITIONS_FOR_BULB_TO_LIGHT.102t,Beetle_Train,What are the conditions that are required to make a bulb light up?,Negative and positive output are required to make a bulb light up .,"One has to connect one terminal of the bulb to one terminal of the battery, and one has to connect the other terminal of the bulb to the different terminal of the battery that means there is a closed path containing both the bulb and a battery in a complete circuit .","One has to connect one terminal of the bulb to one terminal of the battery, and one has to connect the other terminal of the bulb to the different terminal of the battery",
CONDITIONS_FOR_BULB_TO_LIGHT.103t,Beetle_Train,What are the conditions that are required to make a bulb light up?,A connection to the battery is required to make a bulb light up .,"One has to connect one terminal of the bulb to one terminal of the battery, and one has to connect the other terminal of the bulb to the different terminal of the battery that means there is a closed path containing both the bulb and a battery in a complete circuit .","One has to connect one terminal of the bulb to one terminal of the battery, and one has to connect the other terminal of the bulb to the different terminal of the battery . There is a closed path containing both the bulb and a battery in a complete circuit.",
CONDITIONS_FOR_BULB_TO_LIGHT.107t,Beetle_Train,What are the conditions that are required to make a bulb light up?,Battery terminals match the bulb terminals .,"One has to connect one terminal of the bulb to one terminal of the battery, and one has to connect the other terminal of the bulb to the different terminal of the battery that means there is a closed path containing both the bulb and a battery in a complete circuit .",there is a closed path containing both the bulb and a battery in a complete circuit.,
VOLTAGE_AND_GAP_DISCUSS_Q.70t,Beetle_Train,"As you move the multimeter leads from one bulb terminal to the next, what does it mean when the voltage reading jumps from 0 to 1.5?",One has to connect the bulb terminal to a positive or negative battery terminal .,A gap separates the terminals or someone damaged the bulb .,A gap separates the terminals or someone damaged the bulb,
VOLTAGE_AND_GAP_DISCUSS_Q.78t,Beetle_Train,"As you move the multimeter leads from one bulb terminal to the next, what does it mean when the voltage reading jumps from 0 to 1.5?",A gap no longer separates the terminals .,A gap separates the terminals or someone damaged the bulb .,A gap separates the terminals or someone damaged the bulb,
VOLTAGE_AND_GAP_DISCUSS_Q.79t,Beetle_Train,"As you move the multimeter leads from one bulb terminal to the next, what does it mean when the voltage reading jumps from 0 to 1.5?",One does not know .,A gap separates the terminals or someone damaged the bulb .,A gap separates the terminals or someone damaged the bulb,
VOLTAGE_AND_GAP_DISCUSS_Q.82t,Beetle_Train,"As you move the multimeter leads from one bulb terminal to the next, what does it mean when the voltage reading jumps from 0 to 1.5?",Someone connected the terminals .,A gap separates the terminals or someone damaged the bulb .,A gap separates the terminals or someone damaged the bulb,
SWITCH_TABLE_EXPLAIN_Q3.77t,Beetle_Train,Under what circumstances will a switch affect a bulb?,A switch will affect a bulb when the path is open .,When the same path contains the switch and the bulb .,When the same path contains the switch and the bulb,
SWITCH_TABLE_EXPLAIN_Q3.81t,Beetle_Train,Under what circumstances will a switch affect a bulb?,The open switch will open the path .,When the same path contains the switch and the bulb .,When the same path contains the switch and the bulb,
SWITCH_TABLE_EXPLAIN_Q3.85t,Beetle_Train,Under what circumstances will a switch affect a bulb?,A switch will turn the bulb off .,When the same path contains the switch and the bulb .,When the same path contains the switch and the bulb,
PARALLEL_SWITCH_EXPLAIN_Q3.72t,Beetle_Train,What role does the path play in determining whether or not a switch affects a bulb?,"If the switch is open, the path will be closed .",If a bulb and a switch are in the same path the switch affects the bulb .,If a bulb and a switch are in the same path the switch affects the bulb,
PARALLEL_SWITCH_EXPLAIN_Q3.90t,Beetle_Train,What role does the path play in determining whether or not a switch affects a bulb?,The path passes the energy through the switch .,If a bulb and a switch are in the same path the switch affects the bulb .,If a bulb and a switch are in the same path the switch affects the bulb,
PARALLEL_SWITCH_EXPLAIN_Q3.92t,Beetle_Train,What role does the path play in determining whether or not a switch affects a bulb?,There is no path when a switch is open .,If a bulb and a switch are in the same path the switch affects the bulb .,If a bulb and a switch are in the same path the switch affects the bulb,
PARALLEL_SWITCH_EXPLAIN_Q3.103t,Beetle_Train,What role does the path play in determining whether or not a switch affects a bulb?,It depends on whether the path is an open or closed path .,If a bulb and a switch are in the same path the switch affects the bulb .,If a bulb and a switch are in the same path the switch affects the bulb,
PARALLEL_SWITCH_EXPLAIN_Q3.104t,Beetle_Train,What role does the path play in determining whether or not a switch affects a bulb?,It determines whether or not the light bulbs will turn on .,If a bulb and a switch are in the same path the switch affects the bulb .,If a bulb and a switch are in the same path the switch affects the bulb,
VOLTAGE_DIFF_DISCUSS_2_Q.1a,Beetle_UA,What does a voltage reading of 1.5 tell you about the connection between a bulb terminal and a battery terminal?,Someone did not connect the terminals to each other .,Someone did not connect the terminals ., ,
VOLTAGE_DIFF_DISCUSS_2_Q.2a,Beetle_UA,What does a voltage reading of 1.5 tell you about the connection between a bulb terminal and a battery terminal?,A gap separates the terminals .,A gap separates the terminals ., ,
VOLTAGE_DIFF_DISCUSS_2_Q.4a,Beetle_UA,What does a voltage reading of 1.5 tell you about the connection between a bulb terminal and a battery terminal?,Someone did not connect a bulb terminal and a battery terminal to each other .,Someone did not connect the terminals ., ,
DAMAGED_BULB_EXPLAIN_2_Q.1a,Beetle_UA,Why does a damaged bulb impact a circuit?,If someone damages a bulb the path is opened at that bulb .,A damaged bulb creates a gap ., ,
DAMAGED_BULB_EXPLAIN_2_Q.2a,Beetle_UA,Why does a damaged bulb impact a circuit?,Because a damaged bulb creates a gap .,A damaged bulb creates a gap ., ,
DAMAGED_BULB_EXPLAIN_2_Q.3a,Beetle_UA,Why does a damaged bulb impact a circuit?,There is a gap in the circuit .,There is a gap in the circuit ., ,
DAMAGED_BULB_EXPLAIN_2_Q.4a,Beetle_UA,Why does a damaged bulb impact a circuit?,A damaged bulb destroys the path way .,There is an incomplete circuit ., ,
HYBRID_BURNED_OUT_WHY_Q3.1a,Beetle_UA,Under what circumstances will a damaged/ burned out bulb affect another bulb?,If a damaged bulb is in the same closed path with the battery .,Affecting another bulb by damaged bulb depends on whether or not the damaged bulb and another bulb are in the same path ., ,
HYBRID_BURNED_OUT_WHY_Q3.2a,Beetle_UA,Under what circumstances will a damaged/ burned out bulb affect another bulb?,If a damaged bulb and another bulb are on the same path .,Affecting another bulb by damaged bulb depends on whether or not the damaged bulb and another bulb are in the same path ., ,
HYBRID_BURNED_OUT_WHY_Q3.3a,Beetle_UA,Under what circumstances will a damaged/ burned out bulb affect another bulb?,IF a damaged bulb CREATES A GAP IN THE PATH .,If the burned out bulb and the other bulb are in the same path the burned out bulb affects the other bulb .,If they are in the same path the burned out bulb affects the other bulb,
VOLTAGE_DIFF_DISCUSS_1_Q.2a,Beetle_UA,What does a voltage reading of 0 tell you about the connection between a bulb terminal and a battery terminal?,Someone connected the bulb terminal and the battery terminal .,Someone connected the terminals ., ,
VOLTAGE_DIFF_DISCUSS_1_Q.3a,Beetle_UA,What does a voltage reading of 0 tell you about the connection between a bulb terminal and a battery terminal?,There is no difference between the electrical states and also that there is a gap in the circuit .,The terminals are in the same state .,The terminals are in the same state,
VOLTAGE_DIFF_DISCUSS_1_Q.4a,Beetle_UA,What does a voltage reading of 0 tell you about the connection between a bulb terminal and a battery terminal?,A gap separates the terminals and the battery terminal and bulb terminal are on the same side of the gap .,The terminals are in the same state .,The terminals are in the same state,
VOLTAGE_DIFF_DISCUSS_1_Q.5a,Beetle_UA,What does a voltage reading of 0 tell you about the connection between a bulb terminal and a battery terminal?,There is a short circuit between the connection of the bulb terminal and a battery terminal .,Someone did not connect the terminals ., ,
VOLTAGE_DIFF_DISCUSS_1_Q.7a,Beetle_UA,What does a voltage reading of 0 tell you about the connection between a bulb terminal and a battery terminal?,That someone did not connect the bulb terminal and the battery terminal, no gap .,Someone did not connect the terminals ., 
VOLTAGE_DIFF_DISCUSS_1_Q.8a,Beetle_UA,What does a voltage reading of 0 tell you about the connection between a bulb terminal and a battery terminal?,The bulb terminal and the battery terminal share an electrical state .,The terminals are in the same state ., ,
VOLTAGE_DIFF_DISCUSS_1_Q.9a,Beetle_UA,What does a voltage reading of 0 tell you about the connection between a bulb terminal and a battery terminal?,The two terminals are in the same electrical state .,The terminals are in the same state ., ,
BURNED_BULB_LOCATE_EXPLAIN_Q.1a,Beetle_UA,"Why does measuring voltage help you locate a burned out bulb? Try to answer in terms of electrical states, connections and/ or a gap.",Measuring voltage allows one to locate the gap in a connection .,Measuring voltage indicates the place where the electrical state changes due to a gap .,The place where the electrical state changes due to a gap,
BURNED_BULB_LOCATE_EXPLAIN_Q.2a,Beetle_UA,"Why does measuring voltage help you locate a burned out bulb? Try to answer in terms of electrical states, connections and/ or a gap.","Measuring voltage allows one to measure electrical states within a connection, or find a gap in the connection .",Measuring voltage indicates the place where the electrical state changes due to a gap .,Electrical state changes due to a gap,
BURNED_BULB_LOCATE_EXPLAIN_Q.3a,Beetle_UA,"Why does measuring voltage help you locate a burned out bulb? Try to answer in terms of electrical states, connections and/ or a gap.",There is a difference in the electrical state at the location of the gap in the circuit .,Measuring voltage indicates the place where the electrical state changes due to a gap ., ,
BURNED_BULB_LOCATE_EXPLAIN_Q.4a,Beetle_UA,"Why does measuring voltage help you locate a burned out bulb? Try to answer in terms of electrical states, connections and/ or a gap.",The electrical state is non-zero .,A non-zero voltage means that there is a gap .,Non-zero voltage means that there is a gap,
BURNED_BULB_LOCATE_EXPLAIN_Q.7a,Beetle_UA,"Why does measuring voltage help you locate a burned out bulb? Try to answer in terms of electrical states, connections and/ or a gap.","When a light bulb is burned out in a closed path, all the light bulbs go out . Voltage helps one to find where there is a gap in the path, which indicated a damaged bulb .",Measuring voltage indicates the place where the electrical state changes due to a damaged bulb .,The place where the electrical state changes due to a damaged bulb .,
SHORT_CIRCUIT_X_Q.1a,Beetle_UA,What do you think the red X means?,Someone damaged the battery .,Someone damaged the battery ., ,
SHORT_CIRCUIT_X_Q.2a,Beetle_UA,What do you think the red X means?,There is no charge .,Someone damaged the battery ., ,
