"student_answer_id","question_paper","question_type","question_text","student_answer","model_answer","gap"
"EM.21a.459.1","Scients_Train","Concept-completion","A person found one brown mineral and one black mineral. How can she test them for hardness using only the 2 minerals (no tools)?","Scratch the minerals together.","A person can test the minerals for hardness by rubbing the minerals together and seeing which one scratches the other."," "
"II.38.101.1","Scients_Train","Concept-completion","Describe what one would see if a mirror were placed along a line of symmetry on a flat object.","One sees people upside down and kite, cart, cow, buoyant.","The mirror would complete the image of the object and make the object appear whole.","The mirror would complete the image of the object"
"II.38.113.1","Scients_Train","Concept-completion","Describe what one would see if a mirror were placed along a line of symmetry on a flat object.","If a mirror were placed along a line of symmetry on a flat object one would see a heart.","The mirror would complete the image of the object and make the object appear whole.","The mirror would complete the image of the object . make the object appear whole"
"II.38.140.1","Scients_Train","Concept-completion","Describe what one would see if a mirror were placed along a line of symmetry on a flat object.","One will see the line of symmetry.","The mirror would complete the image of the object and make the object appear whole.","The mirror would complete the image of the object"
"II.38.144.1","Scients_Train","Concept-completion","Describe what one would see if a mirror were placed along a line of symmetry on a flat object.","One would see the same part of the mirror.","The mirror would complete the image of the object and make the object appear whole.","The mirror would complete the image of the object . make the object appear whole"
"II.38.206.1","Scients_Train","Concept-completion","Describe what one would see if a mirror were placed along a line of symmetry on a flat object.","One would see the other side but it would be in the mirror.","The mirror would complete the image of the object and make the object appear whole."," "
"II.38.224.1","Scients_Train","Concept-completion","Describe what one would see if a mirror were placed along a line of symmetry on a flat object.","One would see the whole shape.","The mirror would complete the image of the object and make the object appear whole."," "
"MX.53.106.1","Scients_Train","Concept-completion","A person's friend gave him a cup filled with a water solution. That person did not know what solid material was used to make it. He evaporated the solution and found crystals in the dish after all of the water was gone. How will the crystals help him decide what solid material was used to make the solution?","A person could see what solid was used and he will find out what it is.","Crystals of different materials have different shapes. So the shape will help identify the material.","Crystals of different materials have different shapes . So the shape will help identify the material"
"MX.53.157.1","Scients_Train","Concept-completion","A person's friend gave him a cup filled with a water solution. That person did not know what solid material was used to make it. He evaporated the solution and found crystals in the dish after all of the water was gone. How will the crystals help him decide what solid material was used to make the solution?","One can tell by the way the crystals are shaped.","Crystals of different materials have different shapes. So the shape will help identify the material."," "
"MX.53.181.1","Scients_Train","Concept-completion","A person's friend gave him a cup filled with a water solution. That person did not know what solid material was used to make it. He evaporated the solution and found crystals in the dish after all of the water was gone. How will the crystals help him decide what solid material was used to make the solution?","A person can probably look in a book or something to find out. All crystals are different.","Crystals of different materials have different shapes. So the shape will help identify the material.","Crystals of different materials have different shapes . So the shape will help identify the material"
"MX.53.248.1","Scients_Train","Concept-completion","A person's friend gave him a cup filled with a water solution. That person did not know what solid material was used to make it. He evaporated the solution and found crystals in the dish after all of the water was gone. How will the crystals help him decide what solid material was used to make the solution?","The crystals help a person by making solid materials.","Crystals of different materials have different shapes. So the shape will help identify the material.","Crystals of different materials have different shapes . So the shape will help identify the material"
"MX.53.366.1","Scients_Train","Concept-completion","A person's friend gave him a cup filled with a water solution. That person did not know what solid material was used to make it. He evaporated the solution and found crystals in the dish after all of the water was gone. How will the crystals help him decide what solid material was used to make the solution?","If one puts citric acid the crystals will be like a influx.","Crystals of different materials have different shapes. So the shape will help identify the material.","Crystals of different materials have different shapes . So the shape will help identify the material"
"MX.53.384.1","Scients_Train","Concept-completion","A person's friend gave him a cup filled with a water solution. That person did not know what solid material was used to make it. He evaporated the solution and found crystals in the dish after all of the water was gone. How will the crystals help him decide what solid material was used to make the solution?","I think the crystals will help be by the shape and what they have on it.","Crystals of different materials have different shapes. So the shape will help identify the material."," "
"ST.58.397.1","Scients_Train","Concept-completion","What is your 'rule' for deciding if the part of a plant you are observing is a fruit?","I know the part of the plant is a fruit because it would have seeds in it.","If a part of the plant contains seeds, that part is the fruit."," "
"ST.58.398.1","Scients_Train","Concept-completion","What is your 'rule' for deciding if the part of a plant you are observing is a fruit?","To be a fruit the part of the plant must have at least one seed in it.","If a part of the plant contains seeds, that part is the fruit."," "
"ST.58.456.1","Scients_Train","Concept-completion","What is your 'rule' for deciding if the part of a plant you are observing is a fruit?","I will look at the seed.","If a part of the plant contains seeds, that part is the fruit."," "
"ST.58.461.1","Scients_Train","Concept-completion","What is your 'rule' for deciding if the part of a plant you are observing is a fruit?","The part of the plant has a seed.","If a part of the plant contains seeds, that part is the fruit."," "
"ST.58.464.1","Scients_Train","Concept-completion","What is your 'rule' for deciding if the part of a plant you are observing is a fruit?","The part of the plant has to have an embryo, seed count, and cotyledon.","If a part of the plant contains seeds, that part is the fruit."," "
"ST.58.470.1","Scients_Train","Concept-completion","What is your 'rule' for deciding if the part of a plant you are observing is a fruit?","If the part of the plant has seeds.","If a part of the plant contains seeds, that part is the fruit."," "
"VB.29.384.1","Scients_Train","Concept-completion","When conducting a controlled experiment, why does one use a standard?","So that one can see the results of an experiment before a variable is changed so one can compare.","A standard is used for comparison to determine how changing one variable changes the results."," "
"VB.29.388.1","Scients_Train","Concept-completion","When conducting a controlled experiment, why does one use a standard?","One uses a standard so one will not make a mistake and so one can compare the results of an experiment to differences.","A standard is used for comparison to determine how changing one variable changes the results.","A standard is used for comparison to determine how changing one variable changes the results"
"VB.29.394.1","Scients_Train","Concept-completion","When conducting a controlled experiment, why does one use a standard?","One starts with a standard so one can compare his standard data to his own data when he changes a variable.","A standard is used for comparison to determine how changing one variable changes the results."," "
"VB.29.397.1","Scients_Train","Concept-completion","When conducting a controlled experiment, why does one use a standard?","So one can get the closest answer to the question.","A standard is used for comparison to determine how changing one variable changes the results.","A standard is used for comparison to determine how changing one variable changes the results"
"VB.29.399.1","Scients_Train","Concept-completion","When conducting a controlled experiment, why does one use a standard?","So one can record and change variables to get a difference.","A standard is used for comparison to determine how changing one variable changes the results.","A standard is used for comparison to determine how changing one variable changes the results"
"VB.29.404.1","Scients_Train","Concept-completion","When conducting a controlled experiment, why does one use a standard?","So that control one's experiment without changing more than one variable.","A standard is used for comparison to determine how changing one variable changes the results."," "
"ST.52a.382.1","Scients_Train","Concept-completion","When a seed germinates, why does the root grow first?","Because the root sucks up the water as food for the plant and stem.","The root grows first so the root can take up water for the plant."," "
"ST.52a.386.1","Scients_Train","Concept-completion","When a seed germinates, why does the root grow first?","Because the plants need roots to produce the leaves.","The root grows first so the root can take up water for the plant.","The root grows first . so the root can take up water for the plant"
"ST.52a.394.1","Scients_Train","Concept-completion","When a seed germinates, why does the root grow first?","The root grows first to get food and nutrients.","The root grows first so the root can take up water for the plant.","so the root can take up water for the plant"
"ST.52a.396.1","Scients_Train","Concept-completion","When a seed germinates, why does the root grow first?","The root grows first because the seed needs water to grow.","The root grows first so the root can take up water for the plant."," "
"ST.52a.426.1","Scients_Train","Concept-completion","When a seed germinates, why does the root grow first?","So the seed does not die.","The root grows first so the root can take up water for the plant.","The root grows first . so the root can take up water for the plant"
"ST.52a.429.1","Scients_Train","Concept-completion","When a seed germinates, why does the root grow first?","Because the root needs to stay. It will not grow at all.","The root grows first so the root can take up water for the plant.","The root grows first . so the root can take up water for the plant"
"LP.15c.105.1","Scients_Train","Concept-completion","What is the relationship between the amount of effort required to lift the load and its distance from the fulcrum?","The seed and root both relate because one equals the other for a answer.","If the effort is applied farther from the fulcrum, less effort will lift the load.","If the effort is applied farther from the fulcrum , less effort will lift the load"
"LP.15c.107.1","Scients_Train","Concept-completion","What is the relationship between the amount of effort required to lift the load and its distance from the fulcrum?","The seed and root both help the scale by weighing the load.","If the effort is applied farther from the fulcrum, less effort will lift the load.","If the effort is applied farther from the fulcrum , less effort will lift the load"
"LP.15c.111.1","Scients_Train","Concept-completion","What is the relationship between the amount of effort required to lift the load and its distance from the fulcrum?","The farther away the effort is the easier it is to lift the load.","If the effort is applied farther from the fulcrum, less effort will lift the load."," "
"LP.15c.112.1","Scients_Train","Concept-completion","What is the relationship between the amount of effort required to lift the load and its distance from the fulcrum?","The distance of the effort required to lift the load from the fulcrum is 15 centimeters.","If the effort is applied farther from the fulcrum, less effort will lift the load.","If the effort is applied farther from the fulcrum , less effort will lift the load"
"LP.15c.188.1","Scients_Train","Concept-completion","What is the relationship between the amount of effort required to lift the load and its distance from the fulcrum?","The farther away from the fulcrum the less effort is needed and the closer to the fulcrum the more effort.","If the effort is applied farther from the fulcrum, less effort will lift the load."," "
"LP.15c.208.1","Scients_Train","Concept-completion","What is the relationship between the amount of effort required to lift the load and its distance from the fulcrum?","The closer the effort is to the fulcrum, the harder it is to lift the load.","If the effort is applied farther from the fulcrum, less effort will lift the load.","If the effort is applied farther from the fulcrum , less effort will lift the load"
"MS.43b.103.1","Scients_Train","Concept-completion","2 groups used marbles to weigh the same apple. First person's group found the apple weighed 35 marbles and second person's group found the same apple weighed 60 marbles. Both groups used the correct procedure. What should the groups do to make their results more useful?","The groups could use grams to weigh them.","The groups should use a standard unit of mass like grams."," "
"MS.43b.118.1","Scients_Train","Concept-completion","2 groups used marbles to weigh the same apple. First person's group found the apple weighed 35 marbles and second person's group found the same apple weighed 60 marbles. Both groups used the correct procedure. What should the groups do to make their results more useful?","The groups should use the same marbles.","The groups should use a standard unit of mass like grams.","Use a standard unit of mass like grams"
"MS.43b.147.1","Scients_Train","Concept-completion","2 groups used marbles to weigh the same apple. First person's group found the apple weighed 35 marbles and second person's group found the same apple weighed 60 marbles. Both groups used the correct procedure. What should the groups do to make their results more useful?","The groups should use little marbles.","The groups should use a standard unit of mass like grams.","Use a standard unit of mass like grams"
"MS.43b.153.1","Scients_Train","Concept-completion","2 groups used marbles to weigh the same apple. First person's group found the apple weighed 35 marbles and second person's group found the same apple weighed 60 marbles. Both groups used the correct procedure. What should the groups do to make their results more useful?","35 grams to a glass case, 60 grams to a big book.","The groups should use a standard unit of mass like grams.","Use a standard unit of mass like grams"
"MS.43b.171.1","Scients_Train","Concept-completion","2 groups used marbles to weigh the same apple. First person's group found the apple weighed 35 marbles and second person's group found the same apple weighed 60 marbles. Both groups used the correct procedure. What should the groups do to make their results more useful?","The groups could redo the weighing process to see if they weighed the right mass.","The groups should use a standard unit of mass like grams.","Use a standard unit of mass like grams"
"MS.43b.276.1","Scients_Train","Concept-completion","2 groups used marbles to weigh the same apple. First person's group found the apple weighed 35 marbles and second person's group found the same apple weighed 60 marbles. Both groups used the correct procedure. What should the groups do to make their results more useful?","The groups should use a standard unit.","The groups should use a standard unit of mass like grams."," "
"ST.59.393.1","Scients_Train","Concept-completion","A person has a male lizard that has lived for several years in the habitat she provided. She knows that some lizards are territorial. Besides additional food and water, what should she be sure to include in the habitat before she adds another male lizard?","A person needs to add another house or shelter and maybe a female.","A person should include a separate shelter for each lizard."," "
"ST.59.396.1","Scients_Train","Concept-completion","A person has a male lizard that has lived for several years in the habitat she provided. She knows that some lizards are territorial. Besides additional food and water, what should she be sure to include in the habitat before she adds another male lizard?","A person should include another home.","A person should include a separate shelter for each lizard."," "
"ST.59.418.1","Scients_Train","Concept-completion","A person has a male lizard that has lived for several years in the habitat she provided. She knows that some lizards are territorial. Besides additional food and water, what should she be sure to include in the habitat before she adds another male lizard?","Put a glass in the center of the tank.","A person should include a separate shelter for each lizard.","Elena should include a separate shelter for each lizard"
"ST.59.420.1","Scients_Train","Concept-completion","A person has a male lizard that has lived for several years in the habitat she provided. She knows that some lizards are territorial. Besides additional food and water, what should she be sure to include in the habitat before she adds another male lizard?","Get a person's own shelter for that lizard.","A person should include a separate shelter for each lizard."," "
"ST.59.422.1","Scients_Train","Concept-completion","A person has a male lizard that has lived for several years in the habitat she provided. She knows that some lizards are territorial. Besides additional food and water, what should she be sure to include in the habitat before she adds another male lizard?","A lizard needs food, home, space, air, water.","A person should include a separate shelter for each lizard."," "
"PS.4ap.105.1","Scients_Train","Concept-completion","A person tied one end of a string around a doorknob and held the other end in her hand. When she plucked the string (pulled and let go quickly) she heard a sound. How would the pitch change if she pulled the string tighter?","The pitch will change by the way a person plucks it.","When the string is tighter, the pitch will be higher.","When the string is tighter , the pitch will be higher"
"PS.4ap.110.1","Scients_Train","Concept-completion","A person tied one end of a string around a doorknob and held the other end in her hand. When she plucked the string (pulled and let go quickly) she heard a sound. How would the pitch change if she pulled the string tighter?","The pitch would be low.","When the string is tighter, the pitch will be higher.","When the string is tighter , the pitch will be higher"
"PS.4ap.118.1","Scients_Train","Concept-completion","A person tied one end of a string around a doorknob and held the other end in her hand. When she plucked the string (pulled and let go quickly) she heard a sound. How would the pitch change if she pulled the string tighter?","The pitch will get high.","When the string is tighter, the pitch will be higher."," "
"PS.4ap.141.1","Scients_Train","Concept-completion","A person tied one end of a string around a doorknob and held the other end in her hand. When she plucked the string (pulled and let go quickly) she heard a sound. How would the pitch change if she pulled the string tighter?","Higher pitch is observed if a person pulled the string tighter.","When the string is tighter, the pitch will be higher."," "
"PS.4ap.154.1","Scients_Train","Concept-completion","A person tied one end of a string around a doorknob and held the other end in her hand. When she plucked the string (pulled and let go quickly) she heard a sound. How would the pitch change if she pulled the string tighter?","It would make a higher pitch if a person pulled the string tighter.","When the string is tighter, the pitch will be higher."," "
"PS.4ap.172.1","Scients_Train","Concept-completion","A person tied one end of a string around a doorknob and held the other end in her hand. When she plucked the string (pulled and let go quickly) she heard a sound. How would the pitch change if she pulled the string tighter?","The pitch would be lower because the string has less room to vibrate.","When the string is tighter, the pitch will be higher.","When the string is tighter , the pitch will be higher"
"EM.21a.311.1","Scients_Train","Concept-completion","A person found one brown mineral and one black mineral. How can she test them for hardness using only the 2 minerals (no tools)?","A rock scratches.","A person can test the minerals for hardness by rubbing the minerals together and seeing which one scratches the other.","Rub the minerals together . see which one scratches the other"
"MX.24.418.1","Scients_UA","Concept-completion","How does one know when a solid and a liquid form a solution?","Because you can see through it , and the mixture will dissolve into it.","The solid dissolves (seems to disappear) and the liquid remains clear.","The solid dissolves ( seems to disappear )"
"MX.24.468.1","Scients_UA","Concept-completion","How does one know when a solid and a liquid form a solution?","You can not see the solid no more because it is going and you can not see the solution.","The solid dissolves (seems to disappear) and the liquid remains clear.","The solid dissolves ( seems to disappear ) . the liquid remains clear"
"MX.24.527.1","Scients_UA","Concept-completion","How does one know when a solid and a liquid form a solution?","You know when the solid can not be seen.","The solid dissolves (seems to disappear) and the liquid remains clear.","the liquid remains clear"
"MX.24.566.1","Scients_UA","Concept-completion","How does one know when a solid and a liquid form a solution?","When the solid dissolves into the liquid.","The solid dissolves (seems to disappear) and the liquid remains clear.","the liquid remains clear"
"EM.21a.403.1","Scients_UA","Concept-completion","A person found one brown mineral and one black mineral. How can she test them for hardness using only the 2 minerals (no tools)?","She can rub them against each other.","A person can test the minerals for hardness by rubbing the minerals together and seeing which one scratches the other.","see which one scratches the other"
"EM.21a.557.1","Scients_UA","Concept-completion","A person found one brown mineral and one black mineral. How can she test them for hardness using only the 2 minerals (no tools)?","Rubbing them together.","A person can test the minerals for hardness by rubbing the minerals together and seeing which one scratches the other.","see which one scratches the other"
"EM.21a.593.1","Scients_UA","Concept-completion","A person found one brown mineral and one black mineral. How can she test them for hardness using only the 2 minerals (no tools)?","Rub one of the minerals against the other one and see if it has a mark or a scratch.","A person can test the minerals for hardness by rubbing the minerals together and seeing which one scratches the other."," "
"EM.21a.637.1","Scients_UA","Concept-completion","A person found one brown mineral and one black mineral. How can she test them for hardness using only the 2 minerals (no tools)?","Rub them together and see if one scratches the other !","A person can test the minerals for hardness by rubbing the minerals together and seeing which one scratches the other."," "
"II.38.103.1","Scients_UA","Concept-completion","Describe what one would see if a mirror were placed along a line of symmetry on a flat object.","Is flat but when you write your letters backwards.","The mirror would complete the image of the object and make the object appear whole.","The mirror would complete the image of the object . make the object appear whole"
"II.38.151.1","Scients_UA","Concept-completion","Describe what one would see if a mirror were placed along a line of symmetry on a flat object.","You would see the whole shape.","The mirror would complete the image of the object and make the object appear whole."," "
"II.38.473.1","Scients_UA","Concept-completion","Describe what one would see if a mirror were placed along a line of symmetry on a flat object.","Half of the flat object.","The mirror would complete the image of the object and make the object appear whole.","The mirror would complete the image of the object . make the object appear whole"
"II.38.485.1","Scients_UA","Concept-completion","Describe what one would see if a mirror were placed along a line of symmetry on a flat object.","What the mirror is reflecting on the flat object.","The mirror would complete the image of the object and make the object appear whole.","The mirror would complete the image of the object . make the object appear whole"
"MX.53.425.1","Scients_UA","Concept-completion","A person's friend gave him a cup filled with a water solution. That person did not know what solid material was used to make it. He evaporated the solution and found crystals in the dish after all of the water was gone. How will the crystals help him decide what solid material was used to make the solution?","Yes , because he could find out what type of crystals they are.","Crystals of different materials have different shapes. So the shape will help identify the material.","Crystals of different materials have different shapes . so the shape will help identify the material"
"MX.53.473.1","Scients_UA","Concept-completion","A person's friend gave him a cup filled with a water solution. That person did not know what solid material was used to make it. He evaporated the solution and found crystals in the dish after all of the water was gone. How will the crystals help him decide what solid material was used to make the solution?","By comparing them to other solutions.","Crystals of different materials have different shapes. So the shape will help identify the material.","Crystals of different materials have different shapes . so the shape will help identify the material"
"MX.53.528.1","Scients_UA","Concept-completion","A person's friend gave him a cup filled with a water solution. That person did not know what solid material was used to make it. He evaporated the solution and found crystals in the dish after all of the water was gone. How will the crystals help him decide what solid material was used to make the solution?","Weight them all.","Crystals of different materials have different shapes. So the shape will help identify the material.","Crystals of different materials have different shapes . so the shape will help identify the material"
"MX.53.575.1","Scients_UA","Concept-completion","A person's friend gave him a cup filled with a water solution. That person did not know what solid material was used to make it. He evaporated the solution and found crystals in the dish after all of the water was gone. How will the crystals help him decide what solid material was used to make the solution?","Each crystal has its own properties so if he recognized if he would know what solute it was.","Crystals of different materials have different shapes. So the shape will help identify the material."," "
"ST.58.417.1","Scients_UA","Concept-completion","What is your 'rule' for deciding if the part of a plant you are observing is a fruit?","To see if it have seed.","If a part of the plant contains seeds, that part is the fruit."," "
"ST.58.533.1","Scients_UA","Concept-completion","What is your 'rule' for deciding if the part of a plant you are observing is a fruit?","Because it has seeds.","If a part of the plant contains seeds, that part is the fruit."," "
"ST.58.595.1","Scients_UA","Concept-completion","What is your 'rule' for deciding if the part of a plant you are observing is a fruit?","If it has seed inside it is a fruit.","If a part of the plant contains seeds, that part is the fruit."," "
"ST.58.637.1","Scients_UA","Concept-completion","What is your 'rule' for deciding if the part of a plant you are observing is a fruit?","It is plant.","If a part of the plant contains seeds, that part is the fruit.","If a part of the plant contains seeds , that part is the fruit"
"VB.29.429.1","Scients_UA","Concept-completion","When conducting a controlled experiment, why does one use a standard?","In a controlled experiment.","A standard is used for comparison to determine how changing one variable changes the results.","A standard is used for comparison to determine how changing one variable changes the results"
"VB.29.432.1","Scients_UA","Concept-completion","When conducting a controlled experiment, why does one use a standard?","You need to have a standard so you can tell the difference of what the experiment was and so you can tell how far it went.","A standard is used for comparison to determine how changing one variable changes the results.","for comparison to determine how changing one variable changes the results"
"VB.29.462.1","Scients_UA","Concept-completion","When conducting a controlled experiment, why does one use a standard?","You use a standard because you know it will be controlled if you do something random it might not work and that is not a controlled experiment.","A standard is used for comparison to determine how changing one variable changes the results.","for comparison to determine how changing one variable changes the results"
"VB.29.511.1","Scients_UA","Concept-completion","When conducting a controlled experiment, why does one use a standard?","So when you start with the standard it will help you understand more of the experiment.","A standard is used for comparison to determine how changing one variable changes the results.","A standard is used for comparison to determine how changing one variable changes the results"
"ST.52a.460.1","Scients_UA","Concept-completion","When a seed germinates, why does the root grow first?","Roots sucks in water and makes a seed grow.","The root grows first so the root can take up water for the plant."," "
"ST.52a.473.1","Scients_UA","Concept-completion","When a seed germinates, why does the root grow first?","Because it is getting water so the young plant or embryo can have energy to grow.","The root grows first so the root can take up water for the plant."," "
"ST.52a.498.1","Scients_UA","Concept-completion","When a seed germinates, why does the root grow first?","So it can feed the plant.","The root grows first so the root can take up water for the plant.","the root can take up water for the plant"
"ST.52a.561.1","Scients_UA","Concept-completion","When a seed germinates, why does the root grow first?","The root grew because it needs to help the plant stand up.","The root grows first so the root can take up water for the plant.","The root grows first . so the root can take up water for the plant"
"LP.15c.145.1","Scients_UA","Concept-completion","What is the relationship between the amount of effort required to lift the load and its distance from the fulcrum?","They both start off with 0. And they both have effort in it.","If the effort is applied farther from the fulcrum, less effort will lift the load.","If the effort is applied farther from the fulcrum , less effort will lift the load"
"LP.15c.171.1","Scients_UA","Concept-completion","What is the relationship between the amount of effort required to lift the load and its distance from the fulcrum?","If the effort is farther from the fulcrum , it takes less effort to lift it.","If the effort is applied farther from the fulcrum, less effort will lift the load."," "
"LP.15c.425.1","Scients_UA","Concept-completion","What is the relationship between the amount of effort required to lift the load and its distance from the fulcrum?","The farther the effort is applied from the fulcrum the effort decreases.","If the effort is applied farther from the fulcrum, less effort will lift the load."," "
"LP.15c.630.1","Scients_UA","Concept-completion","What is the relationship between the amount of effort required to lift the load and its distance from the fulcrum?","If the effort is closer to the fulcrum then it is easier but if the effort is farther from the fulcrum then it is harder.","If the effort is applied farther from the fulcrum, less effort will lift the load.","If the effort is applied farther from the fulcrum , less effort will lift the load"
"MS.43b.143.1","Scients_UA","Concept-completion","2 groups used marbles to weigh the same apple. First person's group found the apple weighed 35 marbles and second person's group found the same apple weighed 60 marbles. Both groups used the correct procedure. What should the groups do to make their results more useful?","They should zero their balances.","The groups should use a standard unit of mass like grams.","Use a standard unit of mass like grams"
"MS.43b.174.1","Scients_UA","Concept-completion","2 groups used marbles to weigh the same apple. First person's group found the apple weighed 35 marbles and second person's group found the same apple weighed 60 marbles. Both groups used the correct procedure. What should the groups do to make their results more useful?","Get the same marbles.","The groups should use a standard unit of mass like grams.","Use a standard unit of mass like grams"
"MS.43b.417.1","Scients_UA","Concept-completion","2 groups used marbles to weigh the same apple. First person's group found the apple weighed 35 marbles and second person's group found the same apple weighed 60 marbles. Both groups used the correct procedure. What should the groups do to make their results more useful?","They should zero it out before they put the apple in.","The groups should use a standard unit of mass like grams.","Use a standard unit of mass like grams"
"MS.43b.532.1","Scients_UA","Concept-completion","2 groups used marbles to weigh the same apple. First person's group found the apple weighed 35 marbles and second person's group found the same apple weighed 60 marbles. Both groups used the correct procedure. What should the groups do to make their results more useful?","Use grams.","The groups should use a standard unit of mass like grams.","Use a standard unit of mass like"
"PS.4ap.160.1","Scients_UA","Concept-completion","A person tied one end of a string around a doorknob and held the other end in her hand. When she plucked the string (pulled and let go quickly) she heard a sound. How would the pitch change if she pulled the string tighter?","If she did the pitch would be louder.","When the string is tighter, the pitch will be higher.","When the string is tighter , the pitch will be higher"
"PS.4ap.212.1","Scients_UA","Concept-completion","A person tied one end of a string around a doorknob and held the other end in her hand. When she plucked the string (pulled and let go quickly) she heard a sound. How would the pitch change if she pulled the string tighter?","It would of got higher.","When the string is tighter, the pitch will be higher."," "
"PS.4ap.384.1","Scients_UA","Concept-completion","A person tied one end of a string around a doorknob and held the other end in her hand. When she plucked the string (pulled and let go quickly) she heard a sound. How would the pitch change if she pulled the string tighter?","The pitch will be lower.","When the string is tighter, the pitch will be higher.","When the string is tighter , the pitch will be higher"
"PS.4ap.629.1","Scients_UA","Concept-completion","A person tied one end of a string around a doorknob and held the other end in her hand. When she plucked the string (pulled and let go quickly) she heard a sound. How would the pitch change if she pulled the string tighter?","The pitch would be higher if she pulled it really tight.","When the string is tighter, the pitch will be higher."," "
"ST.59.384.1","Scients_UA","Concept-completion","A person has a male lizard that has lived for several years in the habitat she provided. She knows that some lizards are territorial. Besides additional food and water, what should she be sure to include in the habitat before she adds another male lizard?","She should make sure they each have their own space.","A person should include a separate shelter for each lizard.","a separate shelter"
"ST.59.426.1","Scients_UA","Concept-completion","A person has a male lizard that has lived for several years in the habitat she provided. She knows that some lizards are territorial. Besides additional food and water, what should she be sure to include in the habitat before she adds another male lizard?","Shelter , space , food.","A person should include a separate shelter for each lizard."," "
"ST.59.524.1","Scients_UA","Concept-completion","A person has a male lizard that has lived for several years in the habitat she provided. She knows that some lizards are territorial. Besides additional food and water, what should she be sure to include in the habitat before she adds another male lizard?","Add another shelter.","A person should include a separate shelter for each lizard."," "
"ST.59.527.1","Scients_UA","Concept-completion","A person has a male lizard that has lived for several years in the habitat she provided. She knows that some lizards are territorial. Besides additional food and water, what should she be sure to include in the habitat before she adds another male lizard?","She needs another shelter.","A person should include a separate shelter for each lizard."," "
"LF.13b.384.1","Scients_UQ","Concept-completion","What happens to earth materials during erosion?","Earth material gets eroded and carried away.","Earth materials are worn away and moved during erosion."," "
"LF.13b.405.1","Scients_UQ","Concept-completion","What happens to earth materials during erosion?","Earth materials form into other solids water , lava , wind.","Earth materials are worn away and moved during erosion.","Earth materials are worn away . Moved during erosion"
"LF.13b.407.1","Scients_UQ","Concept-completion","What happens to earth materials during erosion?","Earth materials just move around.","Earth materials are worn away and moved during erosion.","Earth materials are worn away . Moved during erosion"
"LF.13b.408.1","Scients_UQ","Concept-completion","What happens to earth materials during erosion?","Earth materials all settle to the bottom.","Earth materials are worn away and moved during erosion.","Earth materials are worn away . Moved during erosion"
"LF.13b.417.1","Scients_UQ","Concept-completion","What happens to earth materials during erosion?","During erosion earth materials are worn away by water wind or ice.","Earth materials are worn away and moved during erosion.","and moved"
"LF.13b.468.1","Scients_UQ","Concept-completion","What happens to earth materials during erosion?","The earth materials wears away.","Earth materials are worn away and moved during erosion.","and moved during erosion"
"LF.13b.501.1","Scients_UQ","Concept-completion","What happens to earth materials during erosion?","Earth material forms a canyon.","Earth materials are worn away and moved during erosion.","Earth materials are worn away . Moved during erosion"
"LF.13b.508.1","Scients_UQ","Concept-completion","What happens to earth materials during erosion?","All of the materials get washed away and they make a way for the water.","Earth materials are worn away and moved during erosion.","and moved during erosion"
